"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"111",1,3,5.5,4.75,4,48,1
"112",0,1,5.33333333333333,6.25,1,63,0
"113",0,1,5.33333333333333,4.75,NA,32,0
"114",0,2,4.5,3,2.66666666666667,52,1
"115",1,1,6.66666666666667,5.5,3.66666666666667,48,1
"116",0,1,4.83333333333333,6,2.66666666666667,26,1
"117",1,1,6.5,7,5.66666666666667,56,0
"118",1,3,6.33333333333333,4.5,6.33333333333333,25,0
"119",0,1,6.33333333333333,6.5,2.33333333333333,26,0
"120",1,3,7,4.75,4.33333333333333,45,0
"121",0,3,5.66666666666667,4.25,1.33333333333333,26,1
"122",1,2,6.83333333333333,5,4.66666666666667,54,0
"123",0,3,4,6.5,2,50,1
"124",0,2,5.83333333333333,5.25,5,56,0
"125",1,3,6.16666666666667,5.75,1.5,55,1
"126",0,1,2.33333333333333,2,1,62,1
"127",0,1,4,4,1,62,1
"128",1,1,5.5,4,5.66666666666667,58,1
"129",0,1,4.16666666666667,4,4,57,0
"130",0,1,3.5,3.5,4,40,0
"131",0,2,6,4.25,4,31,0
"132",0,1,6,5.75,3,25,0
"133",0,1,3.16666666666667,4.75,3,42,0
"134",0,2,4.33333333333333,4,3.33333333333333,60,1
"135",0,2,4.5,5.5,1,64,0
"136",1,3,6.5,6.5,7,25,1
"137",0,1,5.5,6.5,5,53,0
"138",1,1,4.16666666666667,4.75,5.33333333333333,52,1
"139",1,2,5.66666666666667,6,6.33333333333333,63,1
"140",0,1,6.83333333333333,6,4.33333333333333,37,0
"141",0,3,6.33333333333333,6.5,NA,37,1
"142",0,2,5,4,4.66666666666667,54,0
"143",1,3,6.33333333333333,5.75,5.33333333333333,26,0
"144",0,2,3.83333333333333,4.25,3.33333333333333,53,0
"145",0,2,4.66666666666667,5.25,NA,40,0
"146",1,3,7,7,6.66666666666667,54,1
"147",0,3,5.5,4.5,4,55,0
"148",1,3,7,7,4,46,1
"149",0,3,7,5.75,4.66666666666667,26,1
"150",1,3,7,7,5,48,1
"151",0,1,6.16666666666667,5,5,50,0
"152",0,2,3.66666666666667,6,1,35,1
"153",0,3,7,6.5,7,52,0
"154",1,3,7,6.75,2.33333333333333,64,1
"155",1,2,3.66666666666667,5.5,1.33333333333333,29,0
"156",1,1,6.5,4.25,3,41,1
"157",0,1,6.5,2.5,1,59,1
"158",0,2,5.83333333333333,5.5,1.66666666666667,55,0
"159",1,3,5,7,7,25,0
"160",0,1,6.33333333333333,6.5,5.66666666666667,61,1
"161",1,3,7,6,6,53,0
"162",0,2,5,4.25,2.33333333333333,49,1
"163",0,1,5.33333333333333,4.5,3,47,1
"164",0,2,5.33333333333333,5.5,NA,67,0
"165",0,1,4.66666666666667,4,4.33333333333333,53,0
"166",1,1,6.83333333333333,5.75,4.66666666666667,62,0
"167",0,1,4,1.25,NA,59,1
"168",0,1,1,2.5,7,64,0
"169",1,3,6.83333333333333,6,6.66666666666667,42,0
"170",0,2,4,4,4,51,1
"171",0,1,4.16666666666667,4,1,26,1
"172",1,1,7,6.25,5.33333333333333,55,1
"173",1,3,6.33333333333333,6.25,5,35,0
"174",0,1,5,5,3,51,0
"175",0,3,5,5.25,5,25,1
"176",1,2,7,6.25,2.33333333333333,60,1
"177",1,2,5.33333333333333,4.75,4.66666666666667,29,1
"178",1,3,4.66666666666667,5.75,5,55,0
"179",0,2,6.16666666666667,4.75,4,49,0
"180",0,3,4.83333333333333,4,5,34,1
"181",1,2,6.66666666666667,3.75,4.66666666666667,23,0
"182",1,3,6,6,4.33333333333333,34,1
"183",1,3,6.33333333333333,7,6,35,0
"184",0,2,5.5,4.5,4,65,1
"185",0,3,6.16666666666667,6.75,4.66666666666667,27,0
"186",1,1,5.66666666666667,6,NA,53,0
"187",1,3,6.83333333333333,6.75,6.66666666666667,52,0
"188",0,2,4.5,4.75,4.33333333333333,51,0
"189",1,3,6.33333333333333,6,6.66666666666667,55,1
"190",0,2,4.5,4.25,5,26,0
"191",0,1,4.33333333333333,5.25,5.66666666666667,26,0
"192",1,3,4.83333333333333,4.75,6,27,1
"193",1,3,6.83333333333333,6,3.66666666666667,52,1
"194",0,3,7,5,5.66666666666667,55,0
"195",1,1,6.5,6.25,5,65,1
"196",1,2,6,6.75,5,51,1
"197",1,1,5.5,6.5,3.66666666666667,28,0
"198",0,3,5.5,6.5,3,54,1
"199",0,2,5.83333333333333,6.25,6,30,1
"200",0,1,5,4.75,5.33333333333333,48,0
"201",0,3,6.5,6,6.66666666666667,36,0
"202",0,2,5.33333333333333,6.5,5.33333333333333,38,1
"203",0,2,5.5,5,4,41,1
"204",0,1,4.5,4.5,NA,47,0
"205",0,2,4,4,4,48,0
"206",1,1,6.33333333333333,6.5,4,44,0
"207",1,3,5.66666666666667,6,4,28,1
"208",0,3,6.16666666666667,5.25,2.66666666666667,24,1
"209",1,3,5.5,5.5,5,26,1
"210",1,3,6.83333333333333,5.75,7,34,1
"211",0,3,6.5,6.5,2.66666666666667,31,1
"212",1,2,6.83333333333333,6.75,6,55,0
"213",1,3,6.5,4.75,4.33333333333333,24,1
"214",1,3,4.83333333333333,4.5,2.66666666666667,25,1
"215",0,3,6.66666666666667,4.5,3,62,0
"216",1,3,6.66666666666667,6,5,30,1
"217",0,3,6.16666666666667,6.25,4,30,1
"218",1,2,7,5.75,5.33333333333333,32,0
"219",1,3,6.83333333333333,7,4.33333333333333,53,1
"220",1,2,6.33333333333333,6,3,29,1
