"","date","age","gender","comorbidity","comorbidity.N_Y","edu.cat","edu","vaccination_intention","vaccin_campaign","vaccin_encouragement","risk_probability_self","risk_consequence_self","risk_self","risk_probability_other","risk_consequence_other","risk_other","worries_relatives","worries_health","motv_vaccin_ident_2","motv_vaccin_ident_3","motv_vaccin_ident_4","motv_vaccin_exter_1","motv_vaccin_exter_2","motv_vaccin_exter_3","motv_vaccin_distrust_1","motv_vaccin_distrust_4","motv_vaccin_distrust_5","motv_vaccin_effort_1","motv_vaccin_effort_2","motv_vaccin_effort_3","gender.M_F"
"8401","2020-12-10",35,"Male","No",0,"Master",7,3,3,3,2,3,1.83333333333333,3,3,2.33333333333333,2,1,3,3,3,4,3,2,2,2,3,1,3,1,0
"8402","2020-12-11",38,"Male","No",0,"Master",7,1,1,2,1,1,1,3,3,2.33333333333333,2,3,1,1,1,3,1,3,5,5,4,3,3,1,0
"8403","2020-12-10",22,"Male","No",0,"Bachelor university",6,5,5,5,3,2,1.83333333333333,3,3,2.33333333333333,3,3,5,5,5,2,1,3,1,1,1,1,1,1,0
"8404","2020-12-10",50,"Female","No",0,"Master",7,3,3,3,2,3,1.83333333333333,5,4,4.16666666666667,4,4,4,4,4,4,3,3,4,3,3,2,1,1,1
"8405","2020-12-11",56,"Female","No",0,"Master",7,4,5,5,1,2,1.16666666666667,4,4,3.5,3,3,5,5,5,3,3,3,3,2,2,1,2,2,1
"8406","2020-12-10",35,"Female","No",0,"Master",7,2,1,4,3,2,1.83333333333333,4,4,3.5,4,2,1,4,4,4,1,3,5,5,5,1,1,1,1
"8407","2020-12-10",47,"Female","No",0,"Bachelor technical",5,1,3,3,3,3,2.33333333333333,3,3,2.33333333333333,4,3,4,4,4,3,3,3,4,3,4,2,2,2,1
"8408","2020-12-11",49,"Male","No",0,"Master",7,4,5,5,1,2,1.16666666666667,3,3,2.33333333333333,5,2,5,5,5,4,4,1,2,1,1,1,1,1,0
"8409","2020-12-11",46,"Male","No",0,"Master",7,4,2,4,2,3,1.83333333333333,4,4,3.5,5,3,4,3,3,2,2,1,5,3,5,2,1,1,0
"8410","2020-12-10",38,"Male","No",0,"Bachelor technical",5,3,4,5,4,4,3.5,4,3,2.83333333333333,5,4,5,5,5,3,3,4,2,2,4,1,3,3,0
"8411","2020-12-10",70,"Male","Yes",1,"Master",7,5,5,5,3,3,2.33333333333333,5,5,5,3,3,5,5,4,1,1,1,1,1,1,1,1,1,0
"8412","2020-12-10",58,"Male","No",0,"Secundary superior",4,1,1,1,3,2,1.83333333333333,2,1,1.16666666666667,3,1,1,1,3,5,1,2,5,5,5,1,1,1,0
"8413","2020-12-10",36,"Male","No",0,"Master",7,1,1,1,2,2,1.5,1,1,1,3,2,2,3,1,5,1,3,5,5,4,3,3,2,0
"8414","2020-12-11",51,"Male","No",0,"Bachelor technical",5,4,3,4,3,3,2.33333333333333,4,3,2.83333333333333,4,3,4,4,4,1,2,2,3,3,2,2,3,2,0
"8415","2020-12-10",33,"Male","No",0,"Master",7,4,5,5,3,2,1.83333333333333,4,3,2.83333333333333,1,1,5,5,5,2,3,2,4,2,2,2,1,1,0
"8416","2020-12-10",38,"Female","Yes",1,"Master",7,4,4,4,3,3,2.33333333333333,4,4,3.5,4,4,4,5,5,3,4,4,4,2,3,1,1,1,1
"8417","2020-12-11",34,"Male","No",0,"Bachelor technical",5,5,5,5,2,1,1.16666666666667,2,2,1.5,4,3,5,5,5,4,5,3,4,1,1,1,1,2,0
"8418","2020-12-11",35,"Male","Yes",1,"Master",7,4,4,4,2,2,1.5,1,2,1.16666666666667,1,1,4,4,4,5,5,4,4,2,1,1,1,1,0
"8419","2020-12-11",39,"Female","No",0,"Master",7,2,2,4,3,3,2.33333333333333,4,3,2.83333333333333,3,4,2,2,3,3,1,1,5,4,4,1,2,1,1
"8420","2020-12-10",23,"Male","Yes",1,"Bachelor university",6,1,3,3,3,1,1.33333333333333,3,3,2.33333333333333,4,1,3,3,5,3,1,1,5,3,2,1,1,1,0
"8421","2020-12-11",60,"Male","No",0,"Bachelor technical",5,3,2,2,2,3,1.83333333333333,2,4,2.16666666666667,4,3,2,3,3,3,3,4,2,3,4,1,2,2,0
"8422","2020-12-10",34,"Male","No",0,"Bachelor technical",5,2,3,3,2,3,1.83333333333333,3,4,2.83333333333333,3,1,2,2,2,5,3,1,4,4,2,2,4,2,0
"8423","2020-12-10",28,"Female","No",0,"Master",7,2,2,3,3,2,1.83333333333333,3,3,2.33333333333333,4,2,2,2,4,3,1,2,5,4,4,1,3,3,1
"8424","2020-12-11",73,"Male","No",0,"Master",7,4,1,1,3,3,2.33333333333333,3,3,2.33333333333333,4,2,4,4,5,3,3,3,2,2,2,1,3,2,0
"8425","2020-12-10",47,"Female","No",0,"Secundary superior",4,2,1,3,3,2,1.83333333333333,4,4,3.5,5,4,1,1,4,4,1,1,5,4,2,1,3,1,1
"8426","2020-12-10",70,"Female","No",0,"Bachelor technical",5,5,4,5,1,3,1.33333333333333,4,3,2.83333333333333,3,1,5,5,5,1,5,5,1,1,1,1,1,1,1
"8427","2020-12-10",53,"Female","No",0,"Bachelor technical",5,2,4,4,4,3,2.83333333333333,4,4,3.5,4,4,3,2,3,4,2,3,4,3,3,1,3,3,1
"8428","2020-12-11",39,"Male","No",0,"Master",7,5,5,5,2,3,1.83333333333333,5,5,5,5,1,5,5,5,1,1,5,2,1,2,1,1,1,0
"8429","2020-12-11",32,"Female","No",0,"Bachelor technical",5,2,2,2,3,3,2.33333333333333,4,3,2.83333333333333,2,3,2,2,3,4,4,2,4,4,3,3,4,2,1
"8430","2020-12-10",48,"Male","Yes",1,"Bachelor technical",5,3,2,1,1,1,1,1,1,1,4,4,3,3,3,5,5,5,5,5,5,2,2,2,0
"8431","2020-12-10",23,"Female","No",0,"Master",7,3,3,3,3,1,1.33333333333333,3,3,2.33333333333333,3,1,3,3,3,4,2,3,5,4,4,3,3,3,1
"8432","2020-12-11",35,"Male","No",0,"Bachelor technical",5,4,5,4,3,3,2.33333333333333,3,4,2.83333333333333,4,3,5,5,5,1,5,1,4,2,3,1,1,1,0
